probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
158,118,176,0,0.722656,0.409889,0.370565,0.175187,0.55,1.61,0,15
159,116,176,0,0.722656,0.366745,0.332922,0.153835,0.52,1.31,0,13
160,121,176,0,0.722656,0.378827,0.336689,0.173639,0.52,1.41,0,14
161,127,176,0,0.722656,0.536881,0.468770,0.261718,0.48,1.51,0,15
162,121,176,0,0.722656,0.540537,0.459984,0.283893,0.45,1.14,0,12
163,119,176,0,0.722656,0.367681,0.328631,0.164897,0.48,1.25,0,13
164,113,176,0,0.722656,0.345432,0.308777,0.154856,0.53,1.36,0,14
165,134,176,0,0.722656,0.298253,0.268067,0.130749,0.42,1.46,0,15
166,109,176,0,0.722656,0.318960,0.290609,0.131462,0.51,1.08,0,10
167,120,176,0,0.722656,0.273033,0.245241,0.120016,0.49,1.21,0,11
168,117,176,0,0.722656,0.331690,0.300506,0.140407,0.49,1.28,0,12
169,118,176,0,0.722656,0.541626,0.469936,0.269293,0.49,1.38,0,13
170,121,176,0,0.722656,0.347177,0.300894,0.173191,0.49,1.50,0,14
171,118,176,0,0.722656,0.263020,0.237049,0.113962,0.55,1.63,0,15
172,123,176,0,0.722656,0.266562,0.236158,0.123630,0.48,1.33,0,14
173,124,176,0,0.722656,0.488640,0.437079,0.218474,0.50,1.45,0,15
174,127,176,0,0.722656,0.323201,0.283070,0.155981,0.39,0.97,0,10
175,116,176,0,0.722656,0.323567,0.293544,0.136117,0.48,1.08,0,11
176,119,176,0,0.722656,0.333636,0.296164,0.153622,0.48,1.18,0,12
177,120,176,0,0.722656,0.334933,0.297249,0.154347,0.51,1.31,0,13
178,130,176,0,0.722656,0.347409,0.301615,0.172398,0.47,1.42,0,14
179,110,176,0,0.722656,0.584745,0.502024,0.299831,0.57,1.52,0,15
180,117,176,0,0.722656,0.413434,0.369409,0.185647,0.49,1.18,0,11
181,126,176,0,0.722656,0.272718,0.243109,0.123585,0.45,1.29,0,12
182,126,176,0,0.722656,0.251951,0.217327,0.127469,0.47,1.41,0,13
183,134,176,0,0.722656,0.287457,0.255381,0.131955,0.45,1.55,0,14
184,115,176,0,0.722656,0.279267,0.246918,0.130466,0.59,1.68,0,15
185,130,176,0,0.718750,0.539707,0.475349,0.255591,0.46,1.41,0,13
186,118,176,0,0.722656,0.570500,0.504798,0.265800,0.57,1.55,0,14
187,120,176,0,0.722656,0.250267,0.224282,0.111046,0.56,1.67,0,15
188,136,176,0,0.722656,0.329867,0.296648,0.144265,0.40,1.36,0,13
189,118,176,0,0.722656,0.542772,0.474128,0.264204,0.53,1.48,0,14
190,116,176,0,0.722656,0.277213,0.251783,0.115985,0.60,1.64,0,15
191,122,176,0,0.722656,0.224165,0.197859,0.105364,0.48,1.31,0,13
192,122,176,0,0.722656,0.354775,0.309902,0.172703,0.48,1.41,0,14
193,119,176,0,0.722656,0.398565,0.365316,0.159368,0.52,1.53,0,15
194,122,176,0,0.722656,0.352163,0.311183,0.164875,0.45,1.17,0,11
195,123,176,0,0.722656,0.316117,0.289543,0.126864,0.45,1.28,0,12
196,122,176,0,0.722656,0.320738,0.287323,0.142541,0.48,1.39,0,13
197,119,176,0,0.722656,0.510065,0.455814,0.228909,0.53,1.52,0,14
198,122,176,0,0.722656,0.371377,0.327368,0.175359,0.52,1.63,0,15
199,128,176,0,0.722656,0.339160,0.307059,0.144030,0.43,1.30,0,14
200,110,176,0,0.722656,0.247697,0.216190,0.120895,0.55,1.40,0,15
201,122,176,0,0.722656,0.301029,0.272262,0.128420,0.41,0.95,0,10
202,123,176,0,0.722656,0.598832,0.525162,0.287757,0.41,1.03,0,11
203,126,176,0,0.722656,0.287849,0.258009,0.127626,0.39,1.10,0,12
204,121,176,0,0.722656,0.362942,0.311679,0.185965,0.47,1.23,0,13
205,129,176,0,0.722656,0.291768,0.256341,0.139347,0.41,1.31,0,14
206,121,176,0,0.722656,0.606123,0.531945,0.290549,0.51,1.45,0,15
207,110,176,0,0.722656,0.292729,0.257716,0.138826,0.52,1.04,0,10
208,124,176,0,0.722656,0.389173,0.352323,0.165301,0.48,1.18,0,11
209,113,176,0,0.722656,0.329855,0.291528,0.154323,0.52,1.25,0,12
210,124,176,0,0.722656,0.329780,0.298007,0.141233,0.48,1.37,0,13
211,134,176,0,0.722656,0.259561,0.233590,0.113171,0.45,1.50,0,14
212,106,176,0,0.722656,0.484937,0.424158,0.235061,0.62,1.63,0,15
