probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
228,116,128,0,0.718750,0.173762,0.148443,0.090323,0.09,0.29,0,1
229,111,128,0,0.718750,0.122691,0.086796,0.086715,0.16,0.42,0,2
230,113,128,0,0.718750,0.113395,0.072089,0.087530,0.15,0.45,0,3
231,117,128,0,0.718750,0.187096,0.163103,0.091665,0.11,0.40,0,3
232,111,128,0,0.718750,0.224831,0.199324,0.104015,0.13,0.34,0,1
233,117,128,0,0.718750,0.120790,0.082579,0.088153,0.09,0.32,0,2
234,111,128,0,0.718750,0.135399,0.103531,0.087259,0.15,0.40,0,2
235,116,128,0,0.718750,0.119426,0.082151,0.086682,0.12,0.41,0,3
236,112,128,0,0.718750,0.170758,0.142928,0.093434,0.12,0.33,0,1
237,116,128,0,0.718750,0.247322,0.223756,0.105363,0.10,0.33,0,2
238,115,128,0,0.718750,0.254059,0.232828,0.101671,0.11,0.34,0,2
239,115,128,0,0.718750,0.160378,0.130315,0.093483,0.10,0.30,0,1
240,111,128,0,0.718750,0.137050,0.105649,0.087299,0.15,0.40,0,2
241,107,128,0,0.718750,0.175412,0.149478,0.091792,0.18,0.42,0,2
242,112,128,0,0.718750,0.215176,0.189087,0.102697,0.14,0.39,0,2
243,114,128,0,0.718750,0.120554,0.083505,0.086949,0.12,0.35,0,2
244,113,128,0,0.718750,0.626825,0.595155,0.196724,0.12,0.32,0,1
245,115,128,0,0.718750,0.130064,0.096818,0.086851,0.11,0.34,0,2
246,110,128,0,0.718750,0.192718,0.168358,0.093786,0.16,0.45,0,3
247,113,128,0,0.718750,0.197320,0.172287,0.096190,0.14,0.41,0,2
248,120,128,0,0.718750,0.096386,0.047357,0.083950,0.06,0.24,0,1
249,112,128,0,0.718750,0.143521,0.112099,0.089621,0.13,0.36,0,2
250,113,128,0,0.718750,0.162592,0.134308,0.091639,0.12,0.32,0,1
251,110,128,0,0.718750,0.132621,0.099041,0.088200,0.15,0.38,0,2
252,113,128,0,0.718750,0.130480,0.097095,0.087164,0.13,0.38,0,2
253,119,128,0,0.718750,0.137370,0.106085,0.087272,0.07,0.26,0,1
254,112,128,0,0.718750,0.658320,0.629086,0.194000,0.12,0.33,0,1
255,113,128,0,0.718750,0.170211,0.139391,0.097684,0.14,0.41,0,2
256,122,128,0,0.718750,0.219970,0.196527,0.098812,0.07,0.36,0,3
257,115,128,0,0.718750,0.218940,0.195510,0.098542,0.10,0.30,0,1
258,109,128,0,0.718750,0.158604,0.129443,0.091649,0.18,0.46,0,2
259,115,128,0,0.718750,0.093399,0.042174,0.083335,0.10,0.30,0,1
260,119,128,0,0.718750,0.626771,0.595030,0.196930,0.08,0.30,0,2
261,115,128,0,0.718750,0.217175,0.193750,0.098112,0.11,0.34,0,2
262,115,128,0,0.718750,0.189037,0.164320,0.093455,0.11,0.34,0,2
263,105,128,0,0.718750,0.186346,0.161105,0.093648,0.18,0.39,0,1
264,117,128,0,0.718750,0.649928,0.619141,0.197663,0.09,0.28,0,1
265,111,128,0,0.718750,0.214055,0.190691,0.097244,0.14,0.37,0,2
266,115,128,0,0.718750,0.126991,0.091218,0.088351,0.11,0.34,0,2
267,116,128,0,0.718750,0.110632,0.070860,0.084961,0.10,0.33,0,2
268,110,128,0,0.718750,0.151539,0.120763,0.091544,0.15,0.38,0,2
269,119,128,0,0.718750,0.147222,0.116540,0.089959,0.08,0.30,0,2
270,111,128,0,0.718750,0.150165,0.120444,0.089681,0.13,0.34,0,1
271,111,128,0,0.718750,0.159723,0.129882,0.092962,0.13,0.34,0,1
272,115,128,0,0.718750,0.283474,0.261945,0.108363,0.12,0.37,0,2
273,114,128,0,0.718750,0.107606,0.065196,0.085607,0.11,0.31,0,1
274,118,128,0,0.718750,0.125377,0.090344,0.086934,0.09,0.31,0,2
275,111,128,0,0.718750,0.149312,0.118786,0.090466,0.13,0.34,0,1
276,116,128,0,0.718750,0.186123,0.161838,0.091925,0.09,0.29,0,1
277,107,128,0,0.718750,0.166514,0.140306,0.089672,0.16,0.37,0,1
278,113,128,0,0.718750,0.619695,0.589226,0.191924,0.13,0.38,0,2
279,111,128,0,0.718750,0.149561,0.119189,0.090346,0.17,0.49,0,3
280,110,128,0,0.718750,0.188655,0.163884,0.093449,0.20,0.59,0,4
281,113,128,0,0.718750,0.189350,0.164184,0.094325,0.13,0.38,0,2
